 ,pbs_1,pbs_2,pbs_3,pbs_4,pbs_5,pbs_6,pbs_7,pbs_8,pbs_9,pbs_10,pbs_11,pbs_12,pbs_13,pbs_14,pbs_15,pbs_16,pbs_17,pbs_18,pbs_19,pbs_20,pbs_21,pbs_22,pbs_23,pbs_24,psi_1,psi_2,psi_3,psi_4,psi_5,psi_6,psi_7,psi_8,psi_9,psi_10,psi_11,psi_12,psi_13,psi_14,psi_15,psi_16,psi_17,psi_18,psi_19,psi_20,psi_21,psi_22,psi_23,psi_24,chl_1,chl_2,chl_3,chl_4,chl_5,chl_6,chl_7,chl_8,chl_9,chl_10,chl_11,chl_12,chl_13,chl_14,chl_15,chl_16,chl_17,chl_18,chl_19,chl_20,chl_21,chl_22,chl_23,chl_24
1,24,24.00,24.00,24.00,24.00,24.00,24,24.00,24.00,24.00,24.00,24.00,24.00,24.00,24.00,24.00,24.00,24.00,24.00,24.00,24.00,24.00,24.00,24.00,28,28.00,28.00,28.00,28.00,28.00,28,28.00,28.00,28.00,28.00,28.00,28.00,28.00,28.00,28.00,28.00,28.00,28.00,28.00,28.00,28.00,28.00,28.00,21,21.00,21.00,21.00,21.00,21.00,21,21.00,21.00,21.00,21.00,21.00,21.00,21.00,21.00,21.00,21.00,21.00,21.00,21.00,21.00,21.00,21.00,21.00
2,24,26.30,28.30,29.74,30.50,30.55,30,28.81,27.60,26.66,26.13,25.98,26.00,25.20,24.57,24.33,24.57,25.20,26.00,25.68,25.30,24.91,24.57,24.27,15,15.93,17.54,19.60,21.93,24.42,27,24.70,22.63,20.93,19.71,19.05,19.00,19.26,19.87,20.60,21.33,22.09,23.00,23.81,24.10,23.27,21.17,18.15,17,20.69,24.00,26.41,27.66,27.76,27,28.32,29.00,28.86,27.90,26.20,24.00,22.15,20.57,19.62,19.47,20.03,21.00,21.71,22.03,21.67,20.57,18.89
3,28,29.49,31.54,31.37,30.07,28.72,28,27.51,26.73,25.17,23.80,21.86,20.00,22.23,23.73,23.56,24.46,24.51,24.00,25.07,25.73,27.59,27.93,28.25,22,18.22,15.54,18.73,22.12,26.10,29,33.85,34.11,24.64,17.27,18.45,20.00,17.04,15.34,14.96,14.61,16.24,19.00,18.90,20.14,22.60,21.61,20.95,23,25.50,28.80,30.41,32.46,27.79,22,27.38,32.27,31.96,30.07,27.63,26.00,19.35,14.07,21.47,32.37,27.71,18.00,22.65,26.20,27.67,31.32,28.14
4,26,27.14,29.71,31.88,32.29,32.96,28,33.50,29.69,24.38,22.90,22.93,23.00,22.31,22.40,21.76,22.30,22.98,22.00,23.76,27.71,31.89,29.21,28.38,16,15.36,16.90,19.13,19.01,22.13,28,31.07,30.21,26.43,19.91,15.38,19.00,8.87,9.21,10.35,11.40,13.83,13.00,20.50,24.09,25.07,18.51,15.76,24,27.78,25.81,27.95,33.09,36.22,26,29.17,31.50,32.09,24.32,18.86,17.00,16.19,18.99,20.33,24.61,20.49,19.00,21.70,24.91,26.06,27.51,28.95
5,29,27.14,30.46,35.83,35.25,39.27,35,30.01,30.39,27.17,23.39,20.56,22.00,17.80,21.54,20.34,21.39,23.82,24.00,26.52,26.68,29.52,29.78,34.11,11,12.51,16.61,18.18,21.43,27.77,30,31.34,33.35,29.58,18.82,11.54,6.00,4.13,6.22,4.80,7.54,7.09,10.00,22.81,22.43,21.43,16.46,9.23,27,30.53,22.25,28.26,29.46,24.64,34,32.63,32.39,22.12,18.68,21.29,25.00,25.99,20.43,18.10,23.14,19.09,22.00,28.06,26.86,21.75,29.82,23.60
6,31,30.18,33.67,40.22,42.65,42.83,38,34.18,30.00,27.22,24.67,21.42,20.00,19.49,22.00,21.53,22.17,22.19,25.00,26.51,27.49,31.36,33.00,33.58,12,15.37,18.16,21.10,28.16,31.83,34,40.58,41.67,27.96,15.33,9.49,1.00,5.95,4.34,5.14,6.49,8.78,7.00,13.82,22.00,23.98,19.85,14.50,30,27.77,31.30,33.69,36.28,37.19,37,33.49,40.34,31.15,18.01,18.92,18.00,15.63,16.50,15.25,16.67,16.22,24.00,27.49,31.20,34.29,36.02,27.88
7,29,33.76,36.20,44.23,47.78,53.89,43,35.63,31.77,27.18,28.20,20.81,18.00,18.15,20.20,20.81,19.98,21.69,24.00,24.99,30.41,34.88,34.20,32.00,18,18.44,23.39,22.49,35.39,37.27,44,45.71,43.04,26.92,21.78,10.68,6.00,3.59,1.78,5.54,8.61,5.66,6.00,11.68,24.04,21.72,15.82,12.45,34,28.17,38.82,42.07,45.20,45.97,44,44.34,35.80,30.47,17.20,15.41,12.00,12.57,14.59,15.67,18.23,19.97,22.00,26.70,17.78,33.65,32.86,37.11
8,34,34.85,42.78,50.27,54.56,55.08,50,41.95,38.66,27.05,27.22,21.18,18.00,16.28,22.50,23.61,23.94,23.90,23.00,26.80,29.16,39.70,38.00,33.92,14,13.09,21.00,23.90,39.25,40.17,41,46.92,39.75,32.74,22.41,9.10,2.00,3.43,4.88,1.30,8.94,5.15,5.00,12.21,24.16,26.51,14.88,12.91,25,24.55,33.16,37.59,55.16,44.17,41,41.69,37.16,30.72,16.40,19.86,11.00,11.29,16.53,16.95,15.34,17.52,20.00,29.82,30.78,27.26,24.34,35.94
9,33,34.61,45.29,58.49,62.57,63.26,55,49.33,37.07,33.16,26.00,21.96,19.00,19.75,23.07,25.91,21.22,25.11,25.00,28.09,32.78,42.38,40.07,33.72,16,16.03,22.57,36.97,38.29,40.18,41,42.23,46.78,32.72,14.50,6.46,5.00,3.68,3.14,5.39,9.14,5.19,9.00,8.91,13.58,26.88,19.00,12.78,24,25.80,28.36,45.63,51.08,51.07,36,43.52,29.72,34.53,24.21,15.47,9.00,16.13,19.64,23.57,21.78,20.37,17.00,23.89,27.08,36.91,28.93,27.19
10,35,35.59,47.40,59.67,71.53,73.38,66,54.73,42.07,36.13,28.31,20.14,21.00,24.23,24.40,31.29,26.38,27.56,32.00,28.78,37.19,48.18,43.99,37.72,14,18.18,26.29,34.75,39.16,40.10,42,40.59,30.48,25.88,19.19,9.45,7.00,3.90,7.29,10.34,9.50,5.70,7.00,7.60,15.50,25.92,12.23,8.83,20,23.60,37.49,53.13,55.32,68.29,59,50.67,39.74,30.00,21.03,18.92,17.00,21.37,19.81,28.16,17.93,21.42,20.00,20.03,37.44,45.02,30.53,27.48
